Этаж,Комнатность,Отделка,Вид из окон,Стоимость,Общая площадь (м.кв.),Высота потолка (м.),Срок сдачи
11,2к,Черновая,Во двор,5921440,"49,76","2,74",3 квартал 2027
11,2к,Черновая,На улицу,6732700,"51,79","2,74",3 квартал 2027
11,1к,Черновая,На улицу,3467200,"35,2","2,74",3 квартал 2027
11,1к,Черновая,На улицу,3657450,"32,95","2,74",3 квартал 2027
11,1к,Черновая,На улицу,4893075,"32,95","2,74",3 квартал 2027
11,1к,Черновая,На улицу,5332800,"35,2","2,74",3 квартал 2027
11,2к,Черновая,На улицу,7147020,"51,79","2,74",3 квартал 2027
11,2к,Черновая,Во двор,7115680,"49,76","2,74",3 квартал 2027
11,2к,Черновая,Во двор,7221500,"50,5","2,74",3 квартал 2027
12,2к,Черновая,Во двор,7221500,"50,5","2,74",3 квартал 2027
12,2к,Черновая,Во двор,7115680,"49,76","2,74",3 квартал 2027
12,2к,Черновая,На улицу,6577330,"51,79","2,74",3 квартал 2027
12,1к,Черновая,На улицу,5614400,"35,2","2,74",3 квартал 2027
12,1к,Черновая,На улицу,4942500,"32,95","2,74",3 квартал 2027
12,1к,Черновая,На улицу,3262050,"32,95","2,74",3 квартал 2027
12,1к,Черновая,На улицу,5614400,"35,2","2,74",3 квартал 2027
12,2к,Черновая,На улицу,7250600,"51,79","2,74",3 квартал 2027
12,2к,Черновая,Во двор,6045840,"49,76","2,74",3 квартал 2027
12,2к,Черновая,Во двор,6539750,"50,5","2,74",3 квартал 2027
13,2к,Черновая,Во двор,5984250,"50,5","2,74",3 квартал 2027
13,2к,Черновая,Во двор,5672640,"49,76","2,74",3 квартал 2027
13,2к,Черновая,На улицу,7405970,"51,79","2,74",3 квартал 2027
13,1к,Черновая,На улицу,5755200,"35,2","2,74",3 квартал 2027
13,1к,Черновая,На улицу,4942500,"32,95","2,74",3 квартал 2027
13,1к,Черновая,На улицу,3410325,"32,95","2,74",3 квартал 2027
13,1к,Черновая,На улицу,5614400,"35,2","2,74",3 квартал 2027
13,2к,Черновая,На улицу,7276495,"51,79","2,74",3 квартал 2027
13,2к,Черновая,Во двор,6045840,"49,76","2,74",3 квартал 2027
13,2к,Черновая,Во двор,6413500,"50,5","2,74",3 квартал 2027
14,2к,Черновая,Во двор,6438750,"50,5","2,74",3 квартал 2027
14,2к,Черновая,Во двор,6220000,"49,76","2,74",3 квартал 2027
14,2к,Черновая,На улицу,7095230,"51,79","2,74",3 квартал 2027
14,1к,Черновая,На улицу,5280000,"35,2","2,74",3 квартал 2027
14,1к,Черновая,На улицу,5387325,"32,95","2,74",3 квартал 2027
14,1к,Черновая,На улицу,5387325,"32,95","2,74",3 квартал 2027
14,1к,Черновая,На улицу,5332800,"35,2","2,74",3 квартал 2027
14,2к,Черновая,На улицу,7276495,"51,79","2,74",3 квартал 2027
14,2к,Черновая,Во двор,6045840,"49,76","2,74",3 квартал 2027
14,2к,Черновая,Во двор,6893250,"50,5","2,74",3 квартал 2027
15,2к,Черновая,Во двор,6565000,"50,5","2,74",3 квартал 2027
15,2к,Черновая,,6045840,"49,76","2,74",3 квартал 2027
15,2к,Черновая,На улицу,7276495,"51,79","2,74",3 квартал 2027
15,1к,Черновая,На улицу,4892800,"35,2","2,74",3 квартал 2027
15,1к,Черновая,На улицу,5255525,"32,95","2,74",3 квартал 2027
15,1к,Черновая,На улицу,4942500,"32,95","2,74",3 квартал 2027
15,1к,Черновая,На улицу,5755200,"35,2","2,74",3 квартал 2027
15,2к,Черновая,На улицу,7405970,"51,79","2,74",3 квартал 2027
15,2к,Черновая,Во двор,6344400,"49,76","2,74",3 квартал 2027
15,2к,Черновая,Во двор,6893250,"50,5","2,74",3 квартал 2027
16,2к,Черновая,Во двор,6893250,"50,5","2,74",3 квартал 2027
16,2к,Черновая,Во двор,5772160,"49,76","2,74",3 квартал 2027
16,2к,Черновая,На улицу,7069335,"51,79","2,74",3 квартал 2027
16,1к,Черновая,На улицу,5614400,"35,2","2,74",3 квартал 2027
16,1к,Черновая,На улицу,4942500,"32,95","2,74",3 квартал 2027
16,1к,Черновая,На улицу,4942500,"32,95","2,74",3 квартал 2027
16,1к,Черновая,На улицу,5491200,"35,2","2,74",3 квартал 2027
16,2к,Черновая,На улицу,7250600,"51,79","2,74",3 квартал 2027
16,2к,Черновая,Во двор,6070720,"49,76","2,74",3 квартал 2027
16,2к,Черновая,Во двор,6464000,"50,5","2,74",3 квартал 2027
2,2к,Черновая,Во двор,7221500,"50,5","2,74",3 квартал 2027
2,2к,Черновая,Во двор,7115680,"49,76","2,74",3 квартал 2027
2,2к,Черновая,На улицу,7069335,"51,79","2,74",3 квартал 2027
2,1к,Черновая,На улицу,5491200,"35,2","2,74",3 квартал 2027
2,1к,Черновая,На улицу,5255525,"32,95","2,74",3 квартал 2027
2,1к,Черновая,На улицу,5140200,"32,95","2,74",3 квартал 2027
2,1к,Черновая,На улицу,5491200,"35,2","2,74",3 квартал 2027
2,2к,Черновая,На улицу,7069335,"51,79","2,74",3 квартал 2027
2,2к,Черновая,Во двор,6394160,"49,76","2,74",3 квартал 2027
2,2к,Черновая,Во двор,6413500,"50,5","2,74",3 квартал 2027
3,2к,Черновая,Во двор,6438750,"50,5","2,74",3 квартал 2027
3,2к,Черновая,Во двор,5672640,"49,76","2,74",3 квартал 2027
3,2к,Черновая,На улицу,7405970,"51,79","2,74",3 квартал 2027
3,1к,Черновая,На улицу,5755200,"35,2","2,74",3 квартал 2027
3,1к,Черновая,На улицу,4942500,"32,95","2,74",3 квартал 2027
3,1к,Черновая,На улицу,5140200,"32,95","2,74",3 квартал 2027
3,1к,Черновая,На улицу,5332800,"35,2","2,74",3 квартал 2027
3,2к,Черновая,На улицу,7069335,"51,79","2,74",3 квартал 2027
